"%d Review(s)","%d beoordeling(en)"
"%s Review(s)","%s beoordeling(en)"
"(Posted on %s)","(Geplaatst op %s)"
"1 star","1  ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"Add New Review","Nieuwe beoordeling toevoegen"
"Add Your Review","Uw beoordeling toevoegen"
"Administrator","Admin"
"All Reviews","Alle beoordelingen"
"All reviews of customer `%s`","Alle beoordelingen van klant '%s'"
"Allow guests to write reviews","Beoordelingen van gasten toestaan"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Are you sure?","Weet u het zeker?"
"Average Customer Rating","Gemiddelde klantenwaardering"
"Average Customer Rating:","Gemiddelde klantenwaardering:"
"Back","Terug"
"Back to Main Product Info","Terug naar productpagina"
"Back to My Reviews","Terug naar mijn beoordelingen"
"Back to Product Reviews","Terug naar productbeoordelingen"
"Be the first to review this product","Schrijf de eerste beoordeling van dit product"
"Created On","Aangemaakt op"
"Customer","Klant"
"Customer Reviews","Klantenbeoordelingen"
"Delete","Verwijder"
"Delete Review","Beoordeling verwijderen"
"Detailed Rating","Gedetailleerde waardering"
"Edit Review '%s'","Beoordeling wijzigen: ‘%s’"
"Guest","Gast"
"How do you rate this product?","Hoe waardeert u dit product?"
"ID","ID"
"Manage Ratings","Beheer waarderingen"
"My Product Reviews","Mijn productbeoordelingen"
"My Recent Reviews","Mijn recente beoordelingen"
"Name","Naam"
"Name In Store","Naam in winkel"
"New Review","Nieuwe beoordeling"
"Nickname","Schermnaam"
"Pending Reviews","Te modereren beoordelingen"
"Pending reviews","Te modereren beoordelingen"
"Pending reviews of customer `%s`","Te modereren beoordelingen van klant '%s'"
"Please select a product","Selecteer een product aub"
"Please select one of each of the ratings above","Selecteer een van de waarderingen hierboven"
"Posted By","Geplaatst door"
"Price","Prijs"
"Product","Product"
"Product Name","Productnaam"
"Product Rating","Productwaardering"
"Product Rating:","Productwaardering:"
"Product Review (submitted on %s):","Productbeoordeling (ingestuurd op %s):"
"Product Reviews","Product-beoordelingen"
"Product SKU","Artikelnummer"
"Qty","Aantal"
"Rating:","Waardering:"
"Review","Beoordeling"
"Review Details","Details review"
"Review by %s","Review door %s"
"Reviews and Ratings","Beoordelingen en waarderingen"
"SKU","Artikelnummer"
"Save Review","Beoordeling opslaan"
"Status","Status"
"Submit Review","Beoordeling versturen"
"Summary Rating","Samenvatting waardering"
"Summary of Review","Samenvatting van beoordeling"
"Summary of Your Review","Samenvatting van uw beoordeling"
"Summary of review","Samenvatting van beoordeling"
"Title","Titel"
"Type","Type"
"Unable to post review. Please, try again later.","Kon beoordeling niet plaatsen. Probeer later opnieuw."
"Update status","Status updaten"
"View All Reviews","Alle beoordelingen bekijken"
"View Details","Details bekijken"
"Visible In","Zichtbaar in"
"Websites","Websites"
"Write Your Own Review","Schrijf uw eigen beoordeling"
"You have submitted no reviews.","U heeft geen beoordelingen verstuurd."
"You're reviewing: %s","U werkt aan beoordeling: %s"
"Your Rating:","Uw waardering:"
"Your Review (submitted on %s):","Uw beoordeling (verstuurd op %s):"
"Your review has been accepted for moderation","Dankuwel voor uw bijdrage. Uw beoordeling is geaccepteerd voor controle op taalgebruik."
"OR","OR"
"My Product Reviews","Mijn productbeoordelingen"
